bulan,kode_outlet,no_penerimaan,no_retur,kode_obat,kode_kreditur,satuan_utuh,isi,qty_retur,harga_satuan,jml_retur,is_konsinyasi
4,BX26,RC1112TH011050014F,RE1112TH0651457F,13006714,1000003470,DUS,28,28,8435,236160,FALSE
4,BX27,RR1112TJ025894575,RE1112TJ0652554B,13015532,1000003862,TUB,1,2,0,0,TRUE
4,BX27,RR1112TJ025894575,RE1112TJ0652554B,13077027,1000003862,BT,1,3,0,0,TRUE
4,BX40,RR1113F202456114N,RE1113F206535612,13022383,1000003384,BH,1,1,0,0,TRUE
4,BX31,RR1112TN02405039O,RE1112TN0651785O,13079673,1000008329,BT,1,1,0,0,TRUE
4,BX31,RR1112TN02405039O,RE1112TN0651785O,13079675,1000008329,BT,1,1,0,0,TRUE
4,BX21,RR1112T802599630A,RE1112T80652722C,13095086,1000008329,BT,1,2,0,0,TRUE
4,BX01,RR1112NJ02599879O,RE1112NJ0653071K,13021810,1000003862,BT,1,2,0,0,TRUE
4,BX27,RR1112TJ01582304R,RE1112TJ0652451F,13085276,1000003862,BT,1,2,0,0,TRUE
4,BX11,RR1112RM01780417F,RE1112RM0651732E,13083363,1000002358,BT,1,2,0,0,TRUE
4,BX34,RR11135N02558825Q,RE11135N06515246,13085451,1000003564,BT,1,10,0,0,TRUE
4,BX31,RR1112TN02452904C,RE1112TN0651714B,13021966,1000002358,BT,1,1,0,0,TRUE
4,BX33,RR11132P01788408N,RE11132P06516600,13021685,1000003564,BT,1,1,0,0,TRUE
4,BX34,RR11135N02597639E,RE11135N06515255,13085451,1000003564,BT,1,10,0,0,TRUE
4,BX27,RR1112TJ02327151B,RE1112TJ0651723I,13095503,1000002358,BT,1,2,0,0,TRUE
4,BX31,RR1112TN026063206,RE1112TN06530475,13022388,1000003384,BT,1,1,0,0,TRUE
4,BX32,RR1112TP02240076L,RE1112TP06515327,13095503,1000002358,BT,1,2,0,0,TRUE
4,BX20,RC1112T706720452A,RE1112T706524834,13085845,1000000043,DUS,1,5,66500,332500,FALSE
4,BX31,RR1112TN02603086P,RE1112TN0651713C,13077027,1000003862,BT,1,2,0,0,TRUE
4,BX40,RR1113F2024477267,RE1113F206518195,13022363,1000003384,BH,1,1,0,0,TRUE
4,BX27,RR1112TJ02571864C,RE1112TJ06525578,13021810,1000003862,BT,1,1,0,0,TRUE
4,BX31,RR1112TN02603086P,RE1112TN0654404A,13096051,1000003862,BT,1,2,0,0,TRUE
4,BX27,RR1112TJ025894575,RE1112TJ0654400M,13085554,1000003862,BT,1,1,0,0,TRUE
4,BX26,RR1112TH02599878N,RE1112TH0651644I,13095208,1000002358,BH,1,2,0,0,TRUE
4,BX01,RR1112NJ025088606,RE1112NJ0653447G,13021496,1000003200,BT,1,6,0,0,TRUE
4,BX01,RR1112NJ02508856N,RE1112NJ0652830N,13021968,1000002358,BT,1,5,0,0,TRUE
4,BX01,RR1112NJ02508856N,RE1112NJ0652830N,13096069,1000002358,BT,1,1,0,0,TRUE
4,BX01,RR1112NJ02558338L,RE1112NJ0653069E,13084754,1000003862,BT,1,1,0,0,TRUE
4,BX01,RR1112NJ02558338L,RE1112NJ0653069E,13075149,1000003862,BT,1,1,0,0,TRUE
4,BX19,RR1112T602285313P,RE1112T606516747,13022363,1000003384,BH,1,1,0,0,TRUE
4,BX14,RR1112RT02377960O,RE1112RT0651747K,13021863,1000003862,BT,1,1,0,0,TRUE
4,BX19,RR1112T6021374704,RE1112T60653606F,13085343,1000010086,BT,1,2,0,0,TRUE
4,BX39,RR1113F402527316F,RE1113F40652562R,13083076,1000003862,BT,1,1,0,0,TRUE
4,BX12,RR1112RP02596458N,RE1112RP0653867K,13084754,1000003862,BT,1,2,0,0,TRUE
4,BX39,RR1113F401866925O,RE1113F40652564P,13085191,1000003862,BT,1,1,0,0,TRUE
4,BX31,RR1112TN02577647Q,RE1112TN0651784P,13022356,1000003384,BT,1,1,0,0,TRUE
4,BX22,RR1112T902388036D,RE1112T90652857Q,13015532,1000003862,TUB,1,1,0,0,TRUE
4,BX40,RC1113F202808729,RE1113F20653602C,13015217,1000002432,BH,1,2,26880,53760,FALSE
4,BX33,RR11132P01991024C,RE11132P0654391I,13021821,1000003862,BT,1,1,0,0,TRUE
4,BX34,RR11135N02434247D,RE11135N0651989D,13081427,1000003862,BT,1,1,0,0,TRUE
4,BX01,RR1112NJ01906532B,RE1112NJ0652834J,13021968,1000002358,BT,1,3,0,0,TRUE
4,BX01,RR1112NJ02460477O,RE1112NJ0652829G,13021966,1000002358,BT,1,5,0,0,TRUE
4,BX22,RR1112T9024863681,RE1112T906538076,13084686,1000003862,BT,1,1,0,0,TRUE
4,BX22,RR1112T9024863681,RE1112T906538076,13021857,1000003862,BT,1,1,0,0,TRUE
4,BX01,RR1112NJ02529587J,RE1112NJ0653067G,13015532,1000003862,TUB,1,3,0,0,TRUE
4,BX01,RR1112NJ02529587J,RE1112NJ0653067G,13095926,1000003862,BT,1,2,0,0,TRUE
4,BX01,RR1112NJ02595540R,RE1112NJ06536938,13021828,1000003862,BT,1,1,0,0,TRUE
4,BX03,RR1112QX02592962C,RE1112QX0652014R,13021747,1000003862,BT,1,9,0,0,TRUE
4,BX04,RC1112R1011090794O,RE1112R10654774D,12000972,9100000890,DUS,50,50,2674,133700,FALSE
4,BX26,RR1112TH02592840L,RE1112TH0654046G,13096051,1000003862,BT,1,1,0,0,TRUE
4,BX14,RR1112RT01683723R,RE1112RT06521047,13021604,1000003564,BT,1,1,0,0,TRUE
4,BX22,RR1112T902388031N,RE1112T90653789H,13021863,1000003862,BT,1,1,0,0,TRUE
4,BX22,RR1112T9025669244,RE1112T90653796I,13084754,1000003862,BT,1,3,0,0,TRUE
4,BX14,RR1112RT02191162C,RE1112RT06521038,13021604,1000003564,BT,1,1,0,0,TRUE
4,BX32,RR1112TP025958402,RE1112TP0654658I,13021835,1000003862,BT,1,2,0,0,TRUE
4,BX32,RR1112TP025958402,RE1112TP0654658I,13015532,1000003862,TUB,1,1,0,0,TRUE
4,BX01,RR1112NJ02595540R,RE1112NJ0653074H,13083737,1000003862,BT,1,1,0,0,TRUE
4,BX01,RR1112NJ02595540R,RE1112NJ0653074H,13085554,1000003862,BT,1,1,0,0,TRUE
4,BX01,RR1112NJ02595540R,RE1112NJ0653074H,13085242,1000003862,BT,1,1,0,0,TRUE
4,BX01,RR1112NJ02562856H,RE1112NJ0652831M,13095503,1000003200,BT,1,1,0,0,TRUE
4,BX19,RR1112T6025968915,RE1112T60653305J,13095503,1000002358,BT,1,1,0,0,TRUE
4,BX31,RR1112TN02029803J,RE1112TN06551390,13089332,1000002358,BT,1,1,0,0,TRUE
4,BX27,RR1112TJ025894575,RE1112TJ0654411J,13084754,1000003862,BT,1,2,0,0,TRUE
4,BX27,RR1112TJ025894575,RE1112TJ0654411J,13083737,1000003862,BT,1,2,0,0,TRUE
4,BX27,RR1112TJ025894575,RE1112TJ0654411J,13085554,1000003862,BT,1,1,0,0,TRUE
4,BX01,RC1112NJ010390746M,RE1112NJ0652272J,13094058,1000002823,KLG,1,1,236588,236588,FALSE
4,BX14,RR1112RT02552016E,RE1112RT0654049J,13085242,1000003862,BT,1,1,0,0,TRUE
4,BX27,RR1112TJ025315614,RE1112TJ0654397Q,13077027,1000003862,BT,1,6,0,0,TRUE
4,BX31,RR1112TN025794074,RE1112TN0652216C,13083697,1000003384,BT,1,2,0,0,TRUE
4,BX07,RR1112R902532644L,RE1112R90652242E,13085363,1000010086,BT,1,2,0,0,TRUE
4,BX07,RR1112R902537453L,RE1112R90652245B,13095925,1000010086,BT,1,1,0,0,TRUE
4,BX19,RR1112T6023623117,RE1112T60654708A,13084985,1000008329,BT,1,1,0,0,TRUE
4,BX27,RR1112TJ02527659B,RE1112TJ06522955,13085276,1000003862,BT,1,2,0,0,TRUE
4,BX01,RR1112NJ021490384,RE1112NJ0655525H,13095363,1000011699,BT,1,4,0,0,TRUE
4,BX20,RR1112T702356923E,RE1112T706540914,13022363,1000003384,BH,1,1,0,0,TRUE
4,BX01,RR1112NJ023473742,RE1112NJ0655529D,13095700,1000011699,BT,1,2,0,0,TRUE
4,BX52,RR1114YY02568199O,RE1114YY06532317,13021604,1000003564,BT,1,1,0,0,TRUE
4,BX33,RR11132P02579984E,RE11132P0655019R,13085368,1000010086,BT,1,2,0,0,TRUE
4,BX11,RR1112RM02326705M,RE1112RM06536652,13079715,1000003384,BT,1,1,0,0,TRUE
4,BX13,RR1112RR02355410M,RE1112RR0654189F,13083737,1000003862,BT,1,3,0,0,TRUE
4,BX43,RR1113L3025881716,RE1113L30654905O,13095644,1000002358,BT,1,2,0,0,TRUE
4,BX43,RR1113L302538649L,RE1113L30654906N,13095644,1000002358,BT,1,1,0,0,TRUE
4,BX12,RR1112RP02548123M,RE1112RP0655094L,13081203,1000003862,BT,1,1,0,0,TRUE
4,BX19,RR1112T602545226P,RE1112T60653302M,13085343,1000010086,BT,1,2,0,0,TRUE
4,BX13,RR1112RR01944251J,RE1112RR0654187H,13083737,1000003862,BT,1,3,0,0,TRUE
4,BX43,RR1113L302383599F,RE1113L30654908L,13021863,1000003862,BT,1,1,0,0,TRUE
4,BX43,RR1113L3025941809,RE1113L30654909K,13083737,1000003862,BT,1,2,0,0,TRUE
4,BX32,RR1112TP025867009,RE1112TP0655079H,13095190,1000010086,BT,1,3,0,0,TRUE
4,BX32,RR1112TP025867009,RE1112TP0655081N,13085344,1000010086,BT,1,2,0,0,TRUE
4,BX33,RR11132P02579981K,RE11132P06542322,13083616,1000003925,TUB,1,1,0,0,TRUE
4,BX32,RR1112TP01899229L,RE1112TP0655082M,13085367,1000010086,BT,1,2,0,0,TRUE
4,BX32,RR1112TP02426053P,RE1112TP0655080O,13085371,1000010086,BT,1,2,0,0,TRUE
4,BX32,RR1112TP02197955J,RE1112TP0655090M,13095187,1000010086,BT,1,4,0,0,TRUE
4,BX32,RR1112TP023598432,RE1112TP0655084K,13095185,1000010086,BT,1,1,0,0,TRUE
4,BX43,RR1113L3025139917,RE1113L30654907M,13021788,1000003862,BT,1,2,0,0,TRUE
4,BX32,RR1112TP022157685,RE1112TP0655091L,13095186,1000010086,BT,1,1,0,0,TRUE
4,BX07,RR1112R902586121P,RE1112R906545623,13095184,1000010086,BT,1,1,0,0,TRUE
