nama_outlet,kode_outlet,nama_bm,kode_bm,kode_doc_type,deskripsi_kode_type,dpp,ppn,total,document_id,no_transaksi,tanggal,no_referensi
KF SOROSUTAN,BX26,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,6480493,712854,7193347,640040712,RE1112TH0651457F,2025-04-02 00:00:00,QSBX262504020024
KF.0021,BX01,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,57416,6316,63732,640040687,RE1112NJ06521320,2025-04-05 00:00:00,QSBX012504050008
KF.0021,BX01,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,44175,4859,49034,640040690,RE1112NJ0652136O,2025-04-05 00:00:00,QSBX012504050057
KF.0021,BX01,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,33250,3658,36908,640040689,RE1112NJ0652141R,2025-04-05 00:00:00,QSBX012504050016
KF.0021,BX01,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,33250,3658,36908,640040686,RE1112NJ0652142Q,2025-04-05 00:00:00,QSBX012504050006
KF.0021,BX01,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,27306,3004,30310,640040688,RE1112NJ0652146M,2025-04-05 00:00:00,QSBX012504050014
KF PRAMBANAN,BX38,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,79800,8778,88578,640040691,RE1113540652149A,2025-04-05 00:00:00,QSBX382504050005
KF PRAMBANAN,BX38,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,68199,7502,75701,640040692,RTW11135401258891,2025-04-05 00:00:00,QSBX382504050024
KF.0021,BX01,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,236588,26025,262613,640040682,RE1112NJ0652272J,2025-04-06 00:00:00,QSBX012504060004
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,292125,32134,324259,640040657,RE1112T706523924,2025-04-07 00:00:00,QSBX202504070130
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,62178,6840,69018,640040658,RE1112T70652412J,2025-04-07 00:00:00,QSBX202504070131
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,77616,8538,86154,640040671,RE1112T70652414H,2025-04-07 00:00:00,QSBX202504070210
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,20615,2268,22883,640040670,RE1112T70652417E,2025-04-07 00:00:00,QSBX202504070200
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,338724,37260,375984,640040653,RE1112T706524594,2025-04-07 00:00:00,QSBX202504070087
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,37536,4129,41665,640040662,RE1112T70652460B,2025-04-07 00:00:00,QSBX202504070154
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,75491,8304,83795,640040650,RE1112T70652461A,2025-04-07 00:00:00,QSBX202504070071
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,19788,2177,21965,640040661,RE1112T706524629,2025-04-07 00:00:00,QSBX202504070148
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,69500,7645,77145,640040663,RE1112T706524638,2025-04-07 00:00:00,QSBX202504070168
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,71450,7860,79310,640040646,RE1112T706524665,2025-04-07 00:00:00,QSBX202504070035
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,127072,13978,141050,640040660,RE1112T706524674,2025-04-07 00:00:00,QSBX202504070145
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,62130,6834,68964,640040647,RE1112T706524709,2025-04-07 00:00:00,QSBX202504070037
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,163821,18020,181841,640040652,RE1112T706524781,2025-04-07 00:00:00,QSBX202504070084
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,256427,28207,284634,640040668,RE1112T706524790,2025-04-07 00:00:00,QSBX202504070196
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,61100,6721,67821,640040655,RE1112T706524825,2025-04-07 00:00:00,QSBX202504070114
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,332500,36575,369075,640040654,RE1112T706524834,2025-04-07 00:00:00,QSBX202504070093
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,66500,7315,73815,640040651,RE1112T706524852,2025-04-07 00:00:00,QSBX202504070074
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,425419,46796,472215,640040649,RE1112T706524870,2025-04-07 00:00:00,QSBX202504070066
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,272297,29953,302250,640040659,RE1112T70652488R,2025-04-07 00:00:00,QSBX202504070137
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,275676,30324,306000,640040665,RE1112T706524923,2025-04-07 00:00:00,QSBX202504070180
KF.0609 Tajem,BX21,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,152000,16720,168720,640040664,RE1112T80652620F,2025-04-07 00:00:00,QSBX212504070174
KF PALAGAN TENGAH,BX39,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,270838,29792,300630,640040666,RE1113F406525094,2025-04-07 00:00:00,QSBX392504070186
KF PALAGAN TENGAH,BX39,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,53615,5898,59513,640040656,RE1113F406525138,2025-04-07 00:00:00,QSBX392504070124
KF PALAGAN TENGAH,BX39,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,268074,29488,297562,640040645,RE1113F406525147,2025-04-07 00:00:00,QSBX392504070010
KF PALAGAN TENGAH,BX39,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,108335,11917,120252,640040648,RE1113F406525174,2025-04-07 00:00:00,QSBX392504070040
KF PALAGAN TENGAH,BX39,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,54168,5958,60126,640040667,RE1113F406525183,2025-04-07 00:00:00,QSBX392504070193
KF. KUSMANTO,BX49,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,1932390,212563,2144953,640040669,RE1113UK06524556,2025-04-07 00:00:00,QSBX492504070199
KF.0225,BX08,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,107184,11790,118974,640040634,RE1112RE0652664L,2025-04-08 00:00:00,QSBX082504080265
KF.0225,BX08,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,107184,11790,118974,640040632,RE1112RE0652665K,2025-04-08 00:00:00,QSBX082504080051
KF.0225,BX08,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,275000,30250,305250,640040633,RE1112RE0652689C,2025-04-08 00:00:00,QSBX082504080186
KF.0401 Seturan,BX12,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,643370,70771,714141,640040635,RE1112RP06527371,2025-04-08 00:00:00,QSBX122504080459
KF 0416,BX14,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,661343,72748,734091,640040636,RE1112RT0653019R,2025-04-08 00:00:00,QSBX142504080264
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,1201218,132134,1333352,640040638,RE1112T706526841,2025-04-08 00:00:00,QSBX202504080112
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,300305,33034,333339,640040637,RE1112T70652914C,2025-04-08 00:00:00,QSBX202504080100
KF PETANGPULUHAN,BX25,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,456000,50160,506160,640040639,RE1112TF0653089B,2025-04-08 00:00:00,QSBX252504080024
KF PETANGPULUHAN,BX25,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,53615,5898,59513,640040640,RE1112TF0653092G,2025-04-08 00:00:00,QSBX252504080372
KF. SIDOARUM,BX29,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,212000,23320,235320,640040641,RE1112TL06526671,2025-04-08 00:00:00,QSBX292504080169
KF. Kota Gede,BX31,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,1036769,114045,1150814,640040642,RE1112TN06531269,2025-04-08 00:00:00,QSBX312504080254
KF. SUGIYOPRANOTO,BX43,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,627423,69017,696440,640040643,RE1113L30652986B,2025-04-08 00:00:00,QSBX432504080272
KF.0088,BX04,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,702000,77220,779220,640040614,RE1112R10653395E,2025-04-09 00:00:00,QSBX042504090188
KF.0609 Tajem,BX21,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,93600,10296,103896,640040616,RE1112T80653758Q,2025-04-09 00:00:00,QSBX212504090256
KF.0609 Tajem,BX21,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,93600,10296,103896,640040617,RE1112T80653759P,2025-04-09 00:00:00,QSBX212504090442
KF.0609 Tajem,BX21,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,187200,20592,207792,640040615,RE1112T806537604,2025-04-09 00:00:00,QSBX212504090141
KF. Wonosari,BX32,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,212000,23320,235320,640040618,RE1112TP0653297H,2025-04-09 00:00:00,QSBX322504090386
KF PALAGAN TENGAH,BX39,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,186120,20473,206593,640040619,RE1113F406535412,2025-04-09 00:00:00,QSBX392504090172
KF PALAGAN TENGAH,BX39,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,186120,20473,206593,640040621,RE1113F40653555O,2025-04-09 00:00:00,QSBX392504090313
KF PALAGAN TENGAH,BX39,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,204920,22541,227461,640040620,RE1113F40653564N,2025-04-09 00:00:00,QSBX392504090310
KF PALAGAN TENGAH,BX39,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,52250,5748,57998,640040622,RE1113F40653566L,2025-04-09 00:00:00,QSBX392504090414
KF Jakal 3.5,BX40,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,187792,20657,208449,640040626,RE1113F20653594L,2025-04-09 00:00:00,QSBX402504090398
KF Jakal 3.5,BX40,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,53760,5376,59136,640040623,RE1113F20653602C,2025-04-09 00:00:00,QSBX402504090034
KF Jakal 3.5,BX40,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,563548,61990,625538,640040624,RTW1113F20125970R,2025-04-09 00:00:00,QSBX402504090182
KF Jakal 3.5,BX40,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,349650,38462,388112,640040625,RTW1113F20125972N,2025-04-09 00:00:00,QSBX402504090273
KF.0088,BX04,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,297500,32725,330225,640040713,RE1112R10654151Q,2025-04-10 00:00:00,QSBX042504100155
KF.0275,BX09,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,291600,32076,323676,640040714,RE1112RH06537946,2025-04-10 00:00:00,QSBX092504100170
KF.0609 Tajem,BX21,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,246191,27081,273272,640040716,RE1112T80654023E,2025-04-10 00:00:00,QSBX212504100013
KF.0609 Tajem,BX21,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,46800,5148,51948,640040715,RE1112T80654031E,2025-04-10 00:00:00,QSBX212504100004
KF.Delanggu,BX23,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,283613,31197,314810,640040717,RE1112TC0653931R,2025-04-10 00:00:00,QSBX232504100243
KF KUSUMANEGARA,BX34,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,800000,88000,888000,640040718,RE11135N0653787D,2025-04-10 00:00:00,QSBX342504100183
KF.0088,BX04,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,6336000,696960,7032960,640040737,RE1112R10654316R,2025-04-11 00:00:00,QSBX042504110318
KF.0088,BX04,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,319253,35118,354371,640040735,RE1112R10654754H,2025-04-11 00:00:00,QSBX042504110258
KF.0088,BX04,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,101400,11154,112554,640040734,RE1112R10654758D,2025-04-11 00:00:00,QSBX042504110225
KF.0088,BX04,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,1659340,182527,1841867,640040736,RE1112R10654774D,2025-04-11 00:00:00,QSBX042504110274
KF KUSUMANEGARA,BX34,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,334608,36807,371415,640040738,RE11135N0654665I,2025-04-11 00:00:00,QSBX342504110278
KF Akasia,BX48,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,35454000,3899940,39353940,640040739,RTW1113RX0125996D,2025-04-11 00:00:00,QSBX482504110052
KF.0225,BX08,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,211500,21150,232650,640040740,RE1112RE0654923N,2025-04-12 00:00:00,QSBX082504120124
KF SOROSUTAN,BX26,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,211500,23265,234765,640040741,RE1112TH06548735,2025-04-12 00:00:00,QSBX262504120063
KF SOROSUTAN,BX26,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,95000,10450,105450,640040742,RE1112TH06548744,2025-04-12 00:00:00,QSBX262504120066
KF.0406 Jamal,BX13,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,26307,2894,29201,640040781,RE1112RR0655076J,2025-04-13 00:00:00,QSBX132504130100
KF.0088,BX04,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,394800,43428,438228,640041847,RE1112R10655376D,2025-04-14 00:00:00,QSBX042504140166
KF.0089,BX05,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,25998000,2599800,28597800,640041848,RE1112R30655334J,2025-04-14 00:00:00,QSBX052504140258
KF.0401 Seturan,BX12,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,108335,11917,120252,640041849,RE1112RP06557133,2025-04-14 00:00:00,QSBX122504140260
KF.0406 Jamal,BX13,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,111090,12220,123310,640041850,RE1112RR0655472J,2025-04-14 00:00:00,QSBX132504140215
KF.0133 Purwokerto,BX18,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,27330000,3006300,30336300,640041851,RTW1112T40126023D,2025-04-14 00:00:00,QSBX182504140239
KF. SIDOARUM,BX29,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,211200,23232,234432,640041852,RE1112TL0655473R,2025-04-14 00:00:00,QSBX292504140149
KF Besi,BX36,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,105600,11616,117216,640041854,RE11135206554486,2025-04-14 00:00:00,QSBX362504140168
KF Besi,BX36,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,133730,14710,148440,640041853,RE11135206554495,2025-04-14 00:00:00,QSBX362504140079
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,66542,7320,73862,640042253,RE1112T706561704,2025-04-15 00:00:00,QSBX202504150346
KF SOROSUTAN,BX26,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,24910,2740,27650,640042257,RE1112TH0656129C,2025-04-15 00:00:00,QSBX262504150313
KF SOROSUTAN,BX26,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,169200,18612,187812,640042258,RE1112TH0656131I,2025-04-15 00:00:00,QSBX262504150315
KF SOROSUTAN,BX26,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,56400,5640,62040,640042259,RE1112TH0656132H,2025-04-15 00:00:00,QSBX262504150337
KF SOROSUTAN,BX26,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,153648,16901,170549,640042255,RE1112TH0656136D,2025-04-15 00:00:00,QSBX262504150062
KF SOROSUTAN,BX26,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,268074,29488,297562,640042260,RE1112TH0656139A,2025-04-15 00:00:00,QSBX262504150354
KF SOROSUTAN,BX26,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,162503,17875,180378,640042254,RE1112TH0656142F,2025-04-15 00:00:00,QSBX262504150005
KF SOROSUTAN,BX26,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,113050,12436,125486,640042256,RE1112TH0656145C,2025-04-15 00:00:00,QSBX262504150291
KF MEGUWO,BX27,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,65184,7170,72354,640042262,RE1112TJ0656103I,2025-04-15 00:00:00,QSBX272504150150
KF MEGUWO,BX27,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,206800,22748,229548,640042261,RE1112TJ0656104H,2025-04-15 00:00:00,QSBX272504150102
KF MEGUWO,BX27,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,292125,32134,324259,640042264,RE1112TJ06561547,2025-04-15 00:00:00,QSBX272504150272
KF MEGUWO,BX27,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,280800,30888,311688,640042265,RE1112TJ06561636,2025-04-15 00:00:00,QSBX272504150280
KF MEGUWO,BX27,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,396682,43635,440317,640042263,RTW1112TJ0126068C,2025-04-15 00:00:00,QSBX272504150220
KF.0088,BX04,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,1367520,0,1367520,640042266,RE1112R106569658,2025-04-16 00:00:00,QSBX042504160254
KF.0133 Purwokerto,BX18,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,358495,39434,397929,640042267,RE1112T406565537,2025-04-16 00:00:00,QSBX182504160111
KF Bhayangkara Kulon Progo,BX50,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,62845,6913,69758,640042268,RE1113UR0656415K,2025-04-16 00:00:00,QSBX502504160256
KF.0524 Banteng,BX19,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,34261,3769,38030,640042269,RE1112T606575193,2025-04-17 00:00:00,QSBX192504170367
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,12523,1378,13901,640042271,RE1112T70657357P,2025-04-17 00:00:00,QSBX202504170326
KF.0592 Wates,BX20,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,120583,13264,133847,640042270,RE1112T70657359N,2025-04-17 00:00:00,QSBX202504170184
KF PETANGPULUHAN,BX25,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,142876,15716,158592,640042273,RE1112TF0657244E,2025-04-17 00:00:00,QSBX252504170291
KF PETANGPULUHAN,BX25,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,130771,14385,145156,640042272,RE1112TF0657452C,2025-04-17 00:00:00,QSBX252504170201
KF. Wonosari,BX32,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,199290,21922,221212,640042274,RE1112TP0657723M,2025-04-17 00:00:00,QSBX322504170020
KF. Wonosari,BX32,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,32932,3623,36555,640042276,RE1112TP0657724L,2025-04-17 00:00:00,QSBX322504170128
KF. Wonosari,BX32,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,112800,12408,125208,640042275,RE1112TP0657725K,2025-04-17 00:00:00,QSBX322504170102
KF. Wonosari,BX32,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,24502,2695,27197,640042277,RE1112TP0657726J,2025-04-17 00:00:00,QSBX322504170269
KF KUSUMANEGARA,BX34,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,35411,3895,39306,640042278,RE11135N0657295A,2025-04-17 00:00:00,QSBX342504170255
KF Jamal 5.5,BX52,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,196396,21604,218000,640042279,RTW1114YY0126090P,2025-04-17 00:00:00,QSBX522504170010
KF.0070,BX03,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,30005,3301,33306,640042214,RE1112QX0657911B,2025-04-18 00:00:00,QSBX032504180142
KF.0610 Condong Catur,BX22,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,167304,18403,185707,640042216,RE1112T90657861K,2025-04-18 00:00:00,QSBX222504180101
KF.0610 Condong Catur,BX22,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,77616,8538,86154,640042215,RE1112T90657865G,2025-04-18 00:00:00,QSBX222504180095
KF.0610 Condong Catur,BX22,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,108335,11917,120252,640042217,RE1112T90657870J,2025-04-18 00:00:00,QSBX222504180154
KF PETANGPULUHAN,BX25,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,30005,3301,33306,640042218,RE1112TF06579385,2025-04-18 00:00:00,QSBX252504180137
KF.0088,BX04,UNIT BISNIS YOGYA,8904,QS,Retur Pembelian,2111290,232242,2343532,640042280,RE1112R10658025L,2025-04-19 00:00:00,QSBX042504190166
